regions;mass murder;intentional homicides;homicides for theft or robbery;homicides of mafia;terrorist homicides;attempted homicides;infanticides;manslaughter;unintentional homicides;homicides from road accident;blows;culpable injuries;menaces;kidnappings;offences;rapes;sexual activity with a minor;corruption of a minor;exploitation and abetting prostitution;child pornography and possession of paedo-pornographic materials;thefts;bag-snatching;pickpocketing;burglary;shoplifting;theft from vehicle;theft of art objets;theft of cargo trucks carrying freights;moped theft;motorcycle theft;car theft;robberies;house robbery;bank robbery;post office robbery;shop robbery;street robbery;extortions;swindles and cyber frauds;cybercrime;counteractions of goods and industrial products;intellectual property violations;receiving stolen goods;money laundering;usury;damages;arson;forest arson;damage followed by arson;trafficking and drugs possession;attacks;criminal association;mafia criminal association;smuggling;other crimes;total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piemonte;3;26;2;0;0;57;1;2;95;72;1092;4670;5674;80;1075;275;27;4;104;37;107618;1579;19158;20575;8140;16556;32;78;409;693;6681;2435;226;42;25;384;1359;646;12654;855;261;11;1527;100;21;35650;333;122;405;2403;21;34;1;4;29684;207885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle d'Aosta;0;0;0;0;0;3;0;0;6;3;38;147;148;0;19;6;0;0;1;1;1629;6;82;338;136;164;0;0;7;7;31;19;1;0;0;5;8;19;387;79;4;0;33;2;1;438;4;1;9;47;1;0;0;0;1044;4085;0;0;0;0;0;3;0;0;6;3;38;147;148;0;19;6;0;0;1;1;1629;6;82;338;136;164;0;0;7;7;31;19;1;0;0;5;8;19;387;79;4;0;33;2;1;438;4;1;9;47;1;0;0;0;1044;4085
Liguria;0;7;0;0;0;28;0;0;35;24;349;1876;1781;27;294;138;13;4;33;416;7466;6291;3455;15;5;440;768;127;5826;623;25;12300;127;11;14;1;46;12906;79898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lombardia;2;37;2;0;0;141;0;1;208;164;2722;10436;11367;132;2291;875;81;35;132;87;274669;2837;36320;48517;21263;42612;65;143;2098;4404;16108;5938;476;102;52;881;3189;1353;25414;1579;673;43;2913;204;46;54636;746;144;759;5433;27;54;2;18;72140;475194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trentino Aldo Adige;0;0;0;0;0;7;0;0;12;11;104;467;434;9;54;44;5;5;5;3;8195;33;588;1542;646;1309;1;2;31;21;78;134;8;2;0;21;82;59;1142;72;7;4;135;18;0;1349;46;13;34;274;8;22;0;0;3675;16323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veneto;0;26;2;0;0;44;0;0;147;129;1039;4250;4359;45;794;257;33;8;50;43;96228;524;11559;18926;7839;13552;35;55;443;302;2023;1246;144;30;2;239;576;466;10496;650;436;7;1305;105;40;16796;232;23;232;2297;14;31;1;1;28321;169999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Friuli-Venezia Giulia;0;7;1;0;0;13;0;0;37;30;214;997;946;20;163;99;11;2;9;7;17559;91;2097;3318;1905;1848;9;1;110;219;330;221;32;0;6;61;75;133;3537;176;74;15;306;19;4;3131;80;21;41;506;5;10;0;0;7210;35552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emilia-Romagna;1;28;1;0;0;50;0;2;137;106;1174;5215;5502;81;940;397;27;22;113;40;138436;1332;20874;24186;11294;18184;39;66;1013;969;2859;2155;205;55;31;328;1134;811;12015;775;386;17;1731;85;88;19794;278;51;338;2607;22;38;1;4;36320;229630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toscana;1;23;0;58;0;106;4149;57;765;270;33;6;72;99331;1129;17453;14381;1417;57;19;244;851;590;9572;1025;401;19;1783;307;11;18824;548;344;230;2730;21;54;0;5;28596;176246;0;2;0;0;0;0;0;0;3;3;71;245;253;5;55;12;0;0;5;2;4204;48;499;920;330;795;4;2;35;26;69;75;8;6;1;13;28;20;354;67;18;5;88;2;0;743;49;38;16;125;2;0;0;0;1262;7683;;;;;;;;;;;;;;;
Umbria;1;4;0;0;0;12;0;0;14;8;227;920;1067;17;299;44;4;2;11;9;14320;145;1520;3082;1157;2317;16;19;139;64;379;234;25;5;2;38;107;170;2028;230;30;6;255;1;4;3527;56;15;45;497;1;11;1;0;6061;30108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marche;0;2;0;0;0;6;0;3;49;38;262;1299;1460;21;280;73;11;0;31;11;24881;110;1661;5231;1974;3554;14;29;258;108;827;288;50;13;13;39;95;198;3222;294;183;10;520;48;13;4275;89;2;81;938;6;18;0;0;8495;47067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lazio;1;34;1;0;0;136;0;0;179;124;990;5998;6491;106;1365;427;56;13;82;61;162024;1986;26150;16735;9688;23536;45;78;1712;6399;17597;3692;286;52;37;721;1851;917;14267;1110;1242;138;2115;139;35;22325;795;378;519;5699;31;73;0;8;45187;276255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abruzzo;0;6;2;0;0;13;0;0;35;24;258;1336;1698;17;451;68;8;1;24;6;21275;157;1185;3925;2011;2140;15;43;248;221;1618;333;52;6;14;78;111;186;3091;280;127;9;338;16;11;4563;126;38;113;592;8;12;0;0;8135;43136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Molise;0;1;0;0;0;4;0;0;9;5;63;280;360;5;103;25;1;2;6;1;3472;27;164;576;255;354;6;3;50;27;465;43;6;3;4;6;14;60;903;87;34;4;67;0;3;793;61;33;22;121;2;5;0;0;1668;8205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campania;4;82;1;35;0;151;1;4;140;80;1322;6750;8714;123;2009;307;47;8;85;36;111778;2941;8981;10590;5907;11563;44;127;2104;6774;22990;7917;254;45;50;462;5718;1307;18206;638;1490;285;2632;237;48;10224;1241;681;605;2998;60;110;31;279;42816;222685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Puglia;0;38;2;6;0;102;1;3;123;80;786;4371;5745;90;1699;212;34;4;41;14;80191;1278;3308;11178;3718;8053;22;109;839;1488;17368;2095;164;31;22;524;787;749;7908;360;872;114;1698;153;28;12036;1009;274;1394;2290;31;45;4;5;25089;149334;0;14;2;3;0;24;0;0;21;17;117;785;1142;20;424;42;9;0;8;6;13549;134;411;1328;647;1434;1;27;115;121;3492;439;29;1;13;94;207;187;1412;69;87;16;379;61;2;2455;228;45;462;372;19;8;0;1;4589;26947
Basilicata;0;1;0;0;0;8;0;0;32;18;152;574;888;10;188;31;2;0;10;4;4286;21;221;739;248;347;1;15;21;18;396;67;12;1;0;10;23;102;1221;49;34;27;137;11;4;1730;136;75;62;206;3;8;1;0;3586;13570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calabria;0;1;0;0;0;8;0;0;32;18;152;574;888;10;188;31;2;0;10;4;4286;21;221;739;248;347;1;15;21;18;396;67;12;1;0;10;23;102;1221;49;34;27;137;11;4;1730;136;75;62;206;3;8;1;0;3586;13570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sicilia;1;39;3;0;0;141;0;2;132;63;1099;5362;7569;138;1536;267;35;14;87;38;91106;1624;4550;13923;4165;8409;37;105;2700;4820;12955;2741;254;94;50;510;1201;783;645;580;1845;118;12787;66;1899;15;73;20;38;33310;176318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sardegna;0;10;0;40;6;240;227;40;11;27499;1057;3337;1597;12;177;6845;11;434;9;1;229;333;70;6;118;617;27;192;0;5;0;6;1;12;240;3;29;2;16;18965;139;644;2738;1570;2358;5;10;261;350;1190;354;51;2;2;73;153;237;3805;153;131;18;543;26;0;6797;129;9;645;937;8;4;0;0;9523;47465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;